Year,Month,Index,Annual_Avg
1930,0,16.7,16.7
1931,0,15.2,15.2
1932,0,13.7,13.7
1933,0,13.0,13.0
1934,0,13.4,13.4
1935,0,13.7,13.7
1936,0,13.9,13.9
1937,0,14.4,14.4
1938,0,14.1,14.1
1939,0,13.9,13.9
1940,0,14.0,14.0
1941,0,14.1,14.1
1942,0,16.3,16.3
1943,0,17.3,17.3
1944,0,17.6,17.6
1945,0,18.0,18.0
1946,0,19.5,19.5
1947,0,22.3,22.3
1948,0,24.1,24.1
1949,0,23.8,23.8
1950,0,24.1,24.1
1951,0,26.0,26.0
1952,0,26.5,26.5
1953,0,26.7,26.7
1954,0,26.9,26.9
1955,0,26.8,26.8
1956,0,27.2,27.2
1957,0,28.1,28.1
1958,0,28.9,28.9
1959,0,29.1,29.1
1960,0,29.6,29.6
1961,0,29.9,29.9
1962,0,30.2,30.2
1963,0,30.6,30.6
1964,0,31.0,31.0
1965,0,31.5,31.5
1966,0,32.4,32.4
1967,0,33.4,33.4
1968,0,34.8,34.8
1969,0,36.7,36.7
1970,0,38.8,38.8
1971,0,40.5,40.5
1972,0,41.8,41.8
1973,0,44.4,44.4
1974,0,49.3,49.3
1975,0,53.8,53.8
1976,0,56.9,56.9
1977,0,60.6,60.6
1978,0,65.2,65.2
1979,0,72.6,72.6
1980,0,82.4,82.4
1981,0,90.9,90.9
1982,0,96.5,96.5
1983,0,99.6,99.6
1984,0,103.9,103.9
1985,0,107.6,107.6
1986,0,109.6,109.6
1987,0,113.6,113.6
1988,0,118.3,118.3
1989,0,124.0,124.0
1990,0,130.7,130.7
1991,0,136.2,136.2
1992,0,140.3,140.3
1993,0,144.5,144.5
1994,0,148.2,148.2
1995,0,152.4,152.4
1996,0,156.9,156.9
1997,0,160.5,160.5
1998,0,163.0,163.0
1999,0,166.6,166.6
2000,0,172.2,172.2
2001,0,177.1,177.1
2002,0,179.9,179.9
2003,0,184.0,184.0
2004,0,188.9,188.9
2005,0,195.3,195.3
2006,0,201.6,201.6
2007,0,207.342,207.342
2008,0,215.303,215.303
2009,0,214.537,214.537
2010,0,218.056,218.056
2011,0,224.939,224.939
2012,0,229.594,229.594
2013,0,232.957,232.957
2014,0,236.736,236.736
2015,0,237.017,237.017
2016,0,240.007,240.007
2017,0,245.12,245.12
2018,0,251.107,251.107
2019,0,255.657,255.657
2020,0,258.811,258.811
2021,0,270.97,270.97
2022,0,292.656,292.656
2023,0,304.702,304.702
2024,0,313.234,313.234
