Year,GDP_Billions_Nominal,Notes
1930,104.4,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
1931,76.5,
1932,58.7,
1933,57.2,
1934,66.0,
1935,73.3,
1936,84.8,
1937,93.0,
1938,87.4,
1939,93.0,
1940,102.9,
1941,137.4,
1942,165.1,
1943,203.1,
1944,224.5,
1945,228.2,
1946,227.2,
1947,249.9,
1948,274.5,
1949,272.8,
1950,367.7,
1951,398.1,
1952,407.5,
1953,421.1,
1954,424.4,
1955,444.9,
1956,471.7,
1957,475.9,
1958,487.7,
1959,525.6,
1960,543.3,
1961,563.3,
1962,605.1,
1963,638.6,
1964,684.6,
1965,743.7,
1966,815.0,
1967,861.7,
1968,942.5,
1969,1019.9,
1970,1075.9,
1971,1167,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
1972,1282,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
1973,1428,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
1974,1549,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
1975,1689,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
1976,1878,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
1977,2086,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
1978,2352,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
1979,2627,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
1980,2857,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
1981,3207,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
1982,3343,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
1983,3634,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
1984,4037,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
1985,4339,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
1986,4579,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
1987,4855,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
1988,5236,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
1989,5641,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
1990,5963,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
1991,6158,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
1992,6520,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
1993,6858,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
1994,7287,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
1995,7640,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
1996,8073,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
1997,8577,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
1998,9063,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
1999,9631,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
2000,10251,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
2001,10582,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
2002,10936,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
2003,11458,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
2004,12214,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
2005,13037,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
2006,13815,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
2007,14452,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
2008,14713,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
2009,14449,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
2010,14992,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
2011,15543,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
2012,16197,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
2013,16785,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
2014,17527,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
2015,18225,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
2016,18715,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
2017,19519,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
2018,20580,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
2019,21381,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
2020,20893,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
2021,23315,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
2022,25462,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
2023,27360,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
2024,28180,Approx U.S. nominal GDP current dollars (BEA-style); seed for reproducibility
