task_id,uid,status,runner,tool_request_total,openrouter_cost_total,goose_total_tokens,exception_preview
officeqa-uid0001,UID0001,failed,officeqa-big-runner-01,2,0.100866,,"Traceback (most recent call last):   File ""/opt/arena-venv/lib/python3.14/site-packages/harbor/trial/trial.py"", line 556, in run     await self._execute_agent()   File ""/opt/arena-venv/lib/python3.14/site-packages/harbor/trial/trial.py"", line 268, in _execute_agent     await asyncio.wait_for(     .."
officeqa-uid0007,UID0007,failed,officeqa-big-runner-02,81,0.042045,,"Traceback (most recent call last):   File ""/root/.local/share/uv/python/cpython-3.14.3-linux-x86_64-gnu/lib/python3.14/asyncio/tasks.py"", line 488, in wait_for     return await fut            ^^^^^^^^^   File ""/opt/arena-venv/lib/python3.14/site-packages/arena_sdk/harness/base.py"", line 153, in run "
officeqa-uid0011,UID0011,failed,officeqa-big-runner-01,1,0.039354,,"Traceback (most recent call last):   File ""/opt/arena-venv/lib/python3.14/site-packages/harbor/trial/trial.py"", line 556, in run     await self._execute_agent()   File ""/opt/arena-venv/lib/python3.14/site-packages/harbor/trial/trial.py"", line 268, in _execute_agent     await asyncio.wait_for(     .."
officeqa-uid0014,UID0014,failed,officeqa-big-runner-02,111,0.012109,,"Traceback (most recent call last):   File ""/root/.local/share/uv/python/cpython-3.14.3-linux-x86_64-gnu/lib/python3.14/asyncio/tasks.py"", line 488, in wait_for     return await fut            ^^^^^^^^^   File ""/opt/arena-venv/lib/python3.14/site-packages/arena_sdk/harness/base.py"", line 153, in run "
officeqa-uid0021,UID0021,failed,officeqa-big-runner-02,63,0,,"Traceback (most recent call last):   File ""/root/.local/share/uv/python/cpython-3.14.3-linux-x86_64-gnu/lib/python3.14/asyncio/tasks.py"", line 488, in wait_for     return await fut            ^^^^^^^^^   File ""/opt/arena-venv/lib/python3.14/site-packages/arena_sdk/harness/base.py"", line 153, in run "
officeqa-uid0022,UID0022,failed,officeqa-big-runner-02,23,0,,"Traceback (most recent call last):   File ""/root/.local/share/uv/python/cpython-3.14.3-linux-x86_64-gnu/lib/python3.14/asyncio/tasks.py"", line 488, in wait_for     return await fut            ^^^^^^^^^   File ""/opt/arena-venv/lib/python3.14/site-packages/arena_sdk/harness/base.py"", line 153, in run "
officeqa-uid0027,UID0027,failed,officeqa-big-runner-01,36,0,,"Traceback (most recent call last):   File ""/root/.local/share/uv/python/cpython-3.14.3-linux-x86_64-gnu/lib/python3.14/asyncio/tasks.py"", line 488, in wait_for     return await fut            ^^^^^^^^^   File ""/opt/arena-venv/lib/python3.14/site-packages/arena_sdk/harness/base.py"", line 153, in run "
officeqa-uid0028,UID0028,failed,officeqa-big-runner-01,18,0,,"Traceback (most recent call last):   File ""/root/.local/share/uv/python/cpython-3.14.3-linux-x86_64-gnu/lib/python3.14/asyncio/tasks.py"", line 488, in wait_for     return await fut            ^^^^^^^^^   File ""/opt/arena-venv/lib/python3.14/site-packages/arena_sdk/harness/base.py"", line 153, in run "
officeqa-uid0034,UID0034,failed,officeqa-big-runner-01,87,0,,"Traceback (most recent call last):   File ""/root/.local/share/uv/python/cpython-3.14.3-linux-x86_64-gnu/lib/python3.14/asyncio/tasks.py"", line 488, in wait_for     return await fut            ^^^^^^^^^   File ""/opt/arena-venv/lib/python3.14/site-packages/arena_sdk/harness/base.py"", line 153, in run "
officeqa-uid0053,UID0053,failed,officeqa-big-runner-02,81,0,,"Traceback (most recent call last):   File ""/root/.local/share/uv/python/cpython-3.14.3-linux-x86_64-gnu/lib/python3.14/asyncio/tasks.py"", line 488, in wait_for     return await fut            ^^^^^^^^^   File ""/opt/arena-venv/lib/python3.14/site-packages/arena_sdk/harness/base.py"", line 153, in run "
officeqa-uid0114,UID0114,failed,officeqa-big-runner-01,126,0.003475,,"Traceback (most recent call last):   File ""/root/.local/share/uv/python/cpython-3.14.3-linux-x86_64-gnu/lib/python3.14/asyncio/tasks.py"", line 488, in wait_for     return await fut            ^^^^^^^^^   File ""/opt/arena-venv/lib/python3.14/site-packages/arena_sdk/harness/base.py"", line 153, in run "
officeqa-uid0118,UID0118,failed,officeqa-big-runner-02,61,0,,"Traceback (most recent call last):   File ""/root/.local/share/uv/python/cpython-3.14.3-linux-x86_64-gnu/lib/python3.14/asyncio/tasks.py"", line 488, in wait_for     return await fut            ^^^^^^^^^   File ""/opt/arena-venv/lib/python3.14/site-packages/arena_sdk/harness/base.py"", line 153, in run "
officeqa-uid0153,UID0153,failed,officeqa-big-runner-01,4,0,,"Traceback (most recent call last):   File ""/opt/arena-venv/lib/python3.14/site-packages/harbor/trial/trial.py"", line 556, in run     await self._execute_agent()   File ""/opt/arena-venv/lib/python3.14/site-packages/harbor/trial/trial.py"", line 268, in _execute_agent     await asyncio.wait_for(     .."
officeqa-uid0161,UID0161,failed,officeqa-big-runner-01,42,0.011895,,"Traceback (most recent call last):   File ""/root/.local/share/uv/python/cpython-3.14.3-linux-x86_64-gnu/lib/python3.14/asyncio/tasks.py"", line 488, in wait_for     return await fut            ^^^^^^^^^   File ""/opt/arena-venv/lib/python3.14/site-packages/arena_sdk/harness/base.py"", line 153, in run "
officeqa-uid0165,UID0165,failed,officeqa-big-runner-02,63,0,,"Traceback (most recent call last):   File ""/root/.local/share/uv/python/cpython-3.14.3-linux-x86_64-gnu/lib/python3.14/asyncio/tasks.py"", line 488, in wait_for     return await fut            ^^^^^^^^^   File ""/opt/arena-venv/lib/python3.14/site-packages/arena_sdk/harness/base.py"", line 153, in run "
officeqa-uid0179,UID0179,failed,officeqa-big-runner-01,210,0,,"Traceback (most recent call last):   File ""/root/.local/share/uv/python/cpython-3.14.3-linux-x86_64-gnu/lib/python3.14/asyncio/tasks.py"", line 488, in wait_for     return await fut            ^^^^^^^^^   File ""/opt/arena-venv/lib/python3.14/site-packages/arena_sdk/harness/base.py"", line 153, in run "
officeqa-uid0188,UID0188,failed,officeqa-big-runner-01,27,0.010819,,"Traceback (most recent call last):   File ""/root/.local/share/uv/python/cpython-3.14.3-linux-x86_64-gnu/lib/python3.14/asyncio/tasks.py"", line 488, in wait_for     return await fut            ^^^^^^^^^   File ""/opt/arena-venv/lib/python3.14/site-packages/arena_sdk/harness/base.py"", line 153, in run "
officeqa-uid0208,UID0208,failed,officeqa-big-runner-02,54,0,,"Traceback (most recent call last):   File ""/root/.local/share/uv/python/cpython-3.14.3-linux-x86_64-gnu/lib/python3.14/asyncio/tasks.py"", line 488, in wait_for     return await fut            ^^^^^^^^^   File ""/opt/arena-venv/lib/python3.14/site-packages/arena_sdk/harness/base.py"", line 153, in run "
officeqa-uid0216,UID0216,failed,officeqa-big-runner-02,73,0,,"Traceback (most recent call last):   File ""/root/.local/share/uv/python/cpython-3.14.3-linux-x86_64-gnu/lib/python3.14/asyncio/tasks.py"", line 488, in wait_for     return await fut            ^^^^^^^^^   File ""/opt/arena-venv/lib/python3.14/site-packages/arena_sdk/harness/base.py"", line 153, in run "
