group,value,tasks,passed,failed,pass_rate,avg_goose_tokens,avg_tool_calls,avg_mcp_tool_calls,avg_openrouter_cost
domain_family,budget_and_receipts,53,27,26,0.5094,27165.42,40.02,7.34,0.016639
domain_family,debt_and_international,24,12,12,0.5,29717.88,31.75,6.5,0.010957
domain_family,fx,25,13,12,0.52,35377.04,50.56,9.12,0.030262
domain_family,macro_and_monetary,10,5,5,0.5,26647.6,32.8,8.6,0.007789
domain_family,other,67,36,31,0.5373,33205.46,35.78,5.31,0.009466
domain_family,rates_and_securities,67,29,38,0.4328,38758.19,41.24,5.64,0.036039
operation_family,comparison,78,34,44,0.4359,28773.64,35.15,7.24,0.034261
operation_family,conversion,2,1,1,0.5,46268.5,81.0,15.0,0.0
operation_family,lookup_or_aggregation,117,64,53,0.547,33632.08,37.07,5.28,0.01505
operation_family,statistical,49,23,26,0.4694,37829.16,48.86,7.76,0.01214
phase1_computation_type,?,4,2,2,0.5,22094.25,19.25,2.75,0.0
phase1_computation_type,absolute_change,1,0,1,0.0,36758.0,32.0,3.0,0.003205
phase1_computation_type,absolute_difference,1,1,0,1.0,23593.0,11.0,3.0,0.0
phase1_computation_type,calculate_share_percentage,1,1,0,1.0,29035.0,25.0,10.0,0.009553
phase1_computation_type,convert_value_to_weight,1,1,0,1.0,22587.0,28.0,11.0,0.0
phase1_computation_type,correlation_adjusted_portfolio_var,1,1,0,1.0,26584.0,28.0,9.0,0.0
phase1_computation_type,difference,1,0,1,0.0,35203.0,27.0,6.0,0.0
phase1_computation_type,extraction,1,1,0,1.0,18916.0,18.0,4.0,0.006747
phase1_computation_type,find_minimum,1,1,0,1.0,50977.0,60.0,1.0,0.0
phase1_computation_type,fisher_ideal_symmetric_growth_rate,1,0,1,0.0,14856.0,20.0,6.0,0.161517
phase1_computation_type,geometric_mean,3,2,1,0.6667,44835.67,36.33,5.0,0.037648
phase1_computation_type,linear_regression,2,1,1,0.5,18591.0,84.0,3.5,0.001737
phase1_computation_type,lookup,1,0,1,0.0,25472.0,20.0,4.0,0.015372
phase1_computation_type,percentage_change,1,0,1,0.0,31966.0,41.0,12.0,0.0
phase1_computation_type,percentage_change_and_absolute_change,1,0,1,0.0,35335.0,36.0,3.0,0.0
phase1_computation_type,percentage_difference,1,1,0,1.0,22203.0,23.0,6.0,0.002505
phase1_computation_type,percentage_point_difference,1,0,1,0.0,28573.0,42.0,5.0,0.0
phase1_computation_type,population_standard_deviation,2,1,1,0.5,68249.5,79.5,2.5,0.0
phase1_computation_type,range,1,1,0,1.0,37712.0,35.0,6.0,0.0
phase1_computation_type,ratio_analysis_with_inflation_adjustment,1,0,1,0.0,69950.0,134.0,19.0,0.0
phase1_computation_type,signed_deviation,1,1,0,1.0,41739.0,42.0,7.0,0.0
phase1_computation_type,statistical,1,0,1,0.0,33528.0,48.0,18.0,0.0
phase1_computation_type,subtraction,1,0,1,0.0,19962.0,17.0,5.0,0.0
phase1_computation_type,sum,1,1,0,1.0,14977.0,19.0,4.0,0.0
phase1_computation_type,unknown,214,106,108,0.4953,33132.22,39.17,6.58,0.022022
phase1_computation_type,variance,1,0,1,0.0,18677.0,33.0,4.0,0.0
phase1_feasibility,?,4,2,2,0.5,22094.25,19.25,2.75,0.0
phase1_feasibility,hard,2,1,1,0.5,62027.5,81.5,12.0,0.022938
phase1_feasibility,medium,24,13,11,0.5417,31296.04,34.46,5.96,0.011082
phase1_feasibility,unknown,214,106,108,0.4953,33132.22,39.17,6.58,0.022022
phase1_feasibility,very_hard,2,0,2,0.0,35815.5,92.5,3.0,0.001737
