tool,is_mcp,calls,tasks,passed_tasks,failed_tasks,task_pass_rate
shell,False,7232,241,121,120,0.5021
officeqa-arena__compute_expression,True,834,193,101,92,0.5233
todo__todo_write,False,557,200,98,102,0.49
write,False,243,181,98,83,0.5414
officeqa-arena__submit_answer,True,205,204,112,92,0.549
officeqa-arena__search_data,True,161,89,38,51,0.427
officeqa-arena__search_tables,True,99,78,35,43,0.4487
officeqa-arena__resolve_numeric_evidence,True,93,70,31,39,0.4429
officeqa-arena__route_question,True,63,62,30,32,0.4839
officeqa-arena__get_time_series,True,56,49,24,25,0.4898
officeqa-arena__get_exchange_rate,True,17,11,6,5,0.5455
officeqa-arena__get_cpi_index,True,16,11,4,7,0.3636
officeqa-arena__extract_values,True,15,12,6,6,0.5
officeqa-arena__get_table_profile,True,12,11,6,5,0.5455
officeqa-arena__query_table_rows,True,9,7,2,5,0.2857
officeqa-arena__get_table_context,True,8,8,5,3,0.625
edit,False,7,4,2,2,0.5
officeqa-arena__get_multi_year_series,True,5,3,1,2,0.3333
tree,False,2,2,0,2,0.0
analyze,False,1,1,0,1,0.0
