task_id,uid,uid_num,runner,lane,status,reward,difficulty,domain_family,operation_family,phase1_feasibility,phase1_computation_type,goose_total_tokens,tool_request_total,mcp_tool_request_total,message_count,thinking_chars,text_chars,openrouter_rows_matched,openrouter_cost_total,openrouter_tokens_prompt,openrouter_tokens_completion,openrouter_tokens_reasoning,openrouter_tokens_cached,usd_per_1k_goose_tokens,exception_path,trial_dir
officeqa-uid0001,UID0001,1,officeqa-big-runner-01,,failed,0.0,hard,budget_and_receipts,lookup_or_aggregation,,,,2,0,151,1126,177,42,0.100866,903657,10041,7576,881392,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-094649-89ff5c/pool-20260402T094504Z-officeqa-big-runner-01-lane1-officeqa-uid0001/officeqa-uid0001__62T9vTP/exception.txt,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-094649-89ff5c/pool-20260402T094504Z-officeqa-big-runner-01-lane1-officeqa-uid0001/officeqa-uid0001__62T9vTP
officeqa-uid0002,UID0002,2,officeqa-big-runner-01,,passed,1.0,easy,budget_and_receipts,lookup_or_aggregation,,,27278,28,8,3489,29631,1386,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-094649-1e563a/pool-20260402T094504Z-officeqa-big-runner-01-lane2-officeqa-uid0002/officeqa-uid0002__7xU9cAK
officeqa-uid0003,UID0003,3,officeqa-big-runner-01,,passed,1.0,hard,budget_and_receipts,lookup_or_aggregation,,,33659,41,7,10509,71382,1774,18,0.018369,144887,3155,2256,115360,0.000546,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-094649-9b416b/pool-20260402T094504Z-officeqa-big-runner-01-lane3-officeqa-uid0003/officeqa-uid0003__MgveaXV
officeqa-uid0004,UID0004,4,officeqa-big-runner-01,,passed,1.0,hard,budget_and_receipts,comparison,,,21286,32,13,5711,35661,1759,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-094649-f138ff/pool-20260402T094504Z-officeqa-big-runner-01-lane4-officeqa-uid0004/officeqa-uid0004__ycn3njy
officeqa-uid0005,UID0005,5,officeqa-big-runner-02,,passed,1.0,hard,budget_and_receipts,comparison,,,51145,49,12,7385,51508,2587,60,0.117787,1052660,11137,7533,983936,0.002303,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-094652-64b946/pool-20260402T094504Z-officeqa-big-runner-02-lane1-officeqa-uid0005/officeqa-uid0005__Hp4MH6V
officeqa-uid0006,UID0006,6,officeqa-big-runner-02,,passed,1.0,easy,debt_and_international,lookup_or_aggregation,?,?,31342,30,1,5570,40838,2063,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-094652-e501a6/pool-20260402T094504Z-officeqa-big-runner-02-lane2-officeqa-uid0006/officeqa-uid0006__4nbRHCw
officeqa-uid0007,UID0007,7,officeqa-big-runner-02,,failed,0.0,hard,budget_and_receipts,statistical,,,,81,5,8142,64803,1807,27,0.042045,346225,6494,5024,303328,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-094652-52886e/pool-20260402T094504Z-officeqa-big-runner-02-lane3-officeqa-uid0007/officeqa-uid0007__NVdYmps/exception.txt,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-094652-52886e/pool-20260402T094504Z-officeqa-big-runner-02-lane3-officeqa-uid0007/officeqa-uid0007__NVdYmps
officeqa-uid0008,UID0008,8,officeqa-big-runner-02,,failed,0.0,easy,budget_and_receipts,lookup_or_aggregation,,,29642,35,3,9481,78708,1249,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-094652-78c742/pool-20260402T094504Z-officeqa-big-runner-02-lane4-officeqa-uid0008/officeqa-uid0008__7fipZCq
officeqa-uid0009,UID0009,9,officeqa-big-runner-01,,passed,1.0,hard,fx,lookup_or_aggregation,,,15921,22,6,6378,35624,2123,34,0.087514,730365,13954,10291,705184,0.005497,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-095037-9bd9af/pool-20260402T094504Z-officeqa-big-runner-01-lane1-officeqa-uid0009/officeqa-uid0009__j8bBUGp
officeqa-uid0010,UID0010,10,officeqa-big-runner-01,,passed,1.0,hard,fx,comparison,,,32669,46,11,8598,64616,1318,56,0.128333,1158981,11394,8262,1107808,0.003928,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-095345-c99114/pool-20260402T094504Z-officeqa-big-runner-01-lane2-officeqa-uid0010/officeqa-uid0010__wb3FWRV
officeqa-uid0011,UID0011,11,officeqa-big-runner-01,,failed,0.0,easy,rates_and_securities,lookup_or_aggregation,,,,1,0,160,1116,195,26,0.039354,350215,3709,2105,320896,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-095656-82e7e7/pool-20260402T094504Z-officeqa-big-runner-01-lane3-officeqa-uid0011/officeqa-uid0011__BHVXQyB/exception.txt,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-095656-82e7e7/pool-20260402T094504Z-officeqa-big-runner-01-lane3-officeqa-uid0011/officeqa-uid0011__BHVXQyB
officeqa-uid0012,UID0012,12,officeqa-big-runner-01,,failed,0.0,hard,other,lookup_or_aggregation,,,41585,35,5,4130,33254,1458,28,0.059801,518487,7344,5633,490928,0.001438,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-095541-4fd37b/pool-20260402T094504Z-officeqa-big-runner-01-lane4-officeqa-uid0012/officeqa-uid0012__75kGoFx
officeqa-uid0013,UID0013,13,officeqa-big-runner-02,,failed,0.0,hard,budget_and_receipts,statistical,,,56308,81,12,5034,69684,1112,51,0.097422,834332,13157,10174,795136,0.00173,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-095926-dc1965/pool-20260402T094504Z-officeqa-big-runner-02-lane1-officeqa-uid0013/officeqa-uid0013__QvbtxtN
