task_id,uid,status,runner,lane,elapsed_s,goose_total_tokens,shell_command_count,submit_answer_count,answer_write_count,has_exception,report_json,report_md,events_jsonl
officeqa-uid0001,UID0001,failed,officeqa-big-runner-01,,137.548,,0,0,0,True,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0001.json,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0001.md,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/events/UID0001.jsonl
officeqa-uid0002,UID0002,passed,officeqa-big-runner-01,,326.541,27278,16,1,0,False,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0002.json,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0002.md,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/events/UID0002.jsonl
officeqa-uid0003,UID0003,passed,officeqa-big-runner-01,,516.469,33659,29,1,0,False,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0003.json,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0003.md,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/events/UID0003.jsonl
officeqa-uid0004,UID0004,passed,officeqa-big-runner-01,,440.97,21286,14,1,0,False,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0004.json,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0004.md,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/events/UID0004.jsonl
officeqa-uid0005,UID0005,passed,officeqa-big-runner-02,,660.606,51145,33,1,0,False,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0005.json,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0005.md,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/events/UID0005.jsonl
officeqa-uid0006,UID0006,passed,officeqa-big-runner-02,,400.191,31342,25,1,0,False,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0006.json,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0006.md,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/events/UID0006.jsonl
officeqa-uid0007,UID0007,failed,officeqa-big-runner-02,,900.159,,74,0,0,True,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0007.json,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0007.md,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/events/UID0007.jsonl
officeqa-uid0008,UID0008,failed,officeqa-big-runner-02,,482.058,29642,30,1,1,False,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0008.json,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0008.md,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/events/UID0008.jsonl
officeqa-uid0009,UID0009,passed,officeqa-big-runner-01,,292.142,15921,11,1,0,False,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0009.json,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0009.md,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/events/UID0009.jsonl
officeqa-uid0010,UID0010,passed,officeqa-big-runner-01,,319.799,32669,28,1,0,False,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0010.json,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0010.md,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/events/UID0010.jsonl
officeqa-uid0011,UID0011,failed,officeqa-big-runner-01,,64.909,,0,0,0,True,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0011.json,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0011.md,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/events/UID0011.jsonl
officeqa-uid0012,UID0012,failed,officeqa-big-runner-01,,205.668,41585,28,1,0,False,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0012.json,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0012.md,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/events/UID0012.jsonl
officeqa-uid0013,UID0013,failed,officeqa-big-runner-02,,670.415,56308,67,0,0,False,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0013.json,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0013.md,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/events/UID0013.jsonl
